"Model.name","Accuracy","Sensitivity","Specificity","Precision","Recall"
"Bayesian Generalized Linear Model",0.52,0.64,0.51,0.04,0.64
"Generalized Linear Model",0.5,0.76,0.49,0.05,0.76
"Naive Bayes",0.81,0.32,0.82,0.06,0.32
"Neural Network",0.69,0.64,0.7,0.07,0.64
"Neural Networks with Feature Extraction",0.61,0.6,0.61,0.05,0.6
