"TARGET";"acqua";"alarm";"alcool";"allarm";"apertura";"aria";"arm";"asciugatura";"autosanificazion";"cambio";"canal";"carico";"ciclo";"complet";"completa";"detergent";"detersion";"dinamica";"disconnesso";"disinfect";"disinfezion";"fast";"fine";"flow";"giri";"ingresso";"irregolar";"liquido";"massima";"minima";"miscelazion";"numero";"otturato";"perdita";"prelievo";"pression";"pulsant";"regolar";"risciacquo";"scarico";"scollegato";"selfdisinfect";"sensor";"sovrappression";"spray";"spruzzator";"ster";"steril";"sterilizzant";"sterilizzazion";"stop";"tanica";"temperatura";"temperaturac";"tenuta";"test";"timeout";"tipo";"valvol";"vasca";"velo";"veloc"
"neg";0;0;0;0,0227272727272727;0;0;0;0,02;0;0;0,0227272727272727;0;0;0;0,0128205128205128;0,0128205128205128;0,0128205128205128;0;0;0;0;0;0;0;0;0;0,0227272727272727;0;0;0;0;0;0;0;0;0;0;0,0109612467758259;0,0162822403563239;0,0299039839223987;0,0227272727272727;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0130170852046546
"neg";0;0;0;0;0;0;0;0;0,0167104459646286;0;0;0;0;0;0,00963148466607622;0,00963148466607622;0,00963148466607622;0,00568336187859812;0;0;0,0167104459646286;0;0;0;0;0;0;0;0;0;0,0167104459646286;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0113667237571962;0;0;0;0;0;0;0;0;0;0;0;0,0160420281260435
"neg";0;0;0;0;0;0;0;0,0211508495181978;0;0,0103196804217216;0;0;0;0;0,0108340241193665;0,0108340241193665;0,0108340241193665;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0103196804217216;0;0;0;0;0;0;0;0;0;0,0211508495181978
"neg";0;0;0;0;0;0;0;0;0,0201906790859771;0;0;0;0;0,00757477870323205;0;0,00757477870323205;0,00757477870323205;0,00757477870323205;0;0;0,0201906790859771;0;0;0;0;0;0;0;0;0;0,0201906790859771;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00757477870323205;0;0,00757477870323205;0;0;0;0;0;0;0;0;0;0;0;0
"neg";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"neg";0;0;0;0,0205250000253037;0;0;0;0;0;0;0,0205250000253037;0;0;0;0;0;0;0,0135466880403518;0;0;0;0;0;0;0;0;0,0205250000253037;0;0;0;0;0;0;0;0;0;0;0,0135466880403518;0,0406400641210553;0,0677334402017588;0,0205250000253037;0;0;0;0;0;0;0;0,0270933760807035;0;0;0;0;0;0;0;0;0;0;0;0;0
"neg";0;0;0;0;0;0;0;0,0208333333333333;0,0208333333333333;0;0;0;0;0;0,00798149037074699;0,00798149037074699;0,00798149037074699;0,00798149037074699;0;0;0,0208333333333333;0;0;0;0;0;0;0;0;0;0,0208333333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,015962980741494;0;0;0;0;0;0;0;0;0;0;0;0
"neg";0,0375795171622671;0;0;0,0384615384615385;0;0;0;0,015625;0,015625;0;0;0,0618565503732892;0;0;0,00679197390181524;0,0108665369409077;0,0108665369409077;0,0108665369409077;0;0;0,015625;0;0;0;0;0;0,0384615384615385;0;0;0;0,015625;0;0;0;0;0;0;0,00881289561769981;0,0221153795689448;0,0375795171622671;0;0;0;0;0;0;0;0;0,0176257912353996;0,00987923476627671;0;0;0;0,0154641375933223;0;0;0;0;0;0;0;0
"neg";0;0;0;0;0;0;0;0,0179511284772302;0,0179511284772302;0;0;0;0;0;0,00999935898668643;0,00999935898668643;0,00999935898668643;0,00632294244792773;0;0;0,0179511284772302;0;0;0;0;0;0;0;0;0;0,0179511284772302;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0126458848958555;0;0;0;0;0;0;0;0;0;0;0;0,0179511284772302
"pos";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
