"Model.name","Accuracy","Sensitivity","Specificity","Precision","Recall"
"Bayesian Generalized Linear Model",0.66,0.62,0.66,0.06,0.62
"Generalized Linear Model",0.66,0.62,0.66,0.06,0.62
"Naive Bayes",0.75,0.67,0.75,0.08,0.67
"Neural Network",0.77,0.71,0.77,0.09,0.71
"Neural Networks with Feature Extraction",0.71,0.79,0.71,0.08,0.79
